P1T1	P2T1	P1T2	P2T2	Score1	Score2
81		191		3	5
170		47		17	13
147		154		18	7
170		191		18	19
149		61		12	14
7		174		7	11
4		176		7	4
81		99		3	5
92		28		16	20
25		163		17	14
54		159		3	1
92		146		3	8
123		54		7	11
175		28		14	6
92		149		7	9
51		67		3	1
170		175		6	11
191		38		4	3
19		154		4	12
92		185		3	14
66		159		17	11
66		185		2	4
38		70		9	7
9		46		3	12
154		81		1	4
163		101		0	5
101		149		12	17
78		46		3	1
123		147		13	20
191		81		15	20
182		92		12	15
46		9		12	0
191		149		2	6
25		163		13	6
101		139		4	7
151		139		8	9
110		174		13	12
38		127		11	4
185		110		7	4
109		174		6	7
159		154		9	8
191		51		3	1
185		174		3	1
163		159		6	1
78		172		4	0
163		163		14	19
4		151		16	18
114		191		9	8
99		7		8	13
25		182		16	12
127		53		1	8
67		101		1	8
163		114		20	10
69		51		10	4
182		54		1	5
19		146		15	11
137		67		18	16
7		182		7	2
54		182		10	3
140		67		7	3
137		47		6	9
78		47		20	19
38		81		13	9
25		146		19	12
61		154		17	10
19		67		11	7
7		139		10	6
140		19		6	10
67		78		8	14
69		61		2	4
99		81		4	9
69		53		9	17
174		81		11	16
140		19		15	14
101		110		9	10
146		70		11	17
61		176		18	11
69		61		12	18
137		175		7	16
174		185		11	5
101		92		18	3
174		176		5	1
182		69		13	15
78		140		3	5
191		172		11	5
140		151		6	7
46		123		17	9
28		127		15	19
174		123		15	10
28		172		15	11
25		159		6	2
7		140		4	0
92		191		9	11
101		99		12	11
28		81		3	11
154		172		12	18
54		99		10	4
174		19		2	4
146		147		10	18
174		191		11	4
149		147		0	3
139		127		0	4
114		149		20	10
176		61		9	14
182		176		9	13
159		172		11	7
38		38		9	5
170		67		4	0
146		151		16	10
53		123		14	15
172		114		7	13
137		61		6	8
28		191		11	15
61		159		16	12
140		172		10	16
147		174		6	2
109		70		9	16
172		78		7	15
46		140		9	6
9		51		16	17
67		176		14	19
9		25		3	6
191		66		7	12
101		81		18	13
114		176		11	12
172		146		17	16
66		137		1	3
70		151		17	8
61		151		6	3
19		99		16	20
182		25		7	4
139		114		15	20
101		25		5	3
139		99		14	6
25		176		3	8
170		67		17	18
19		38		10	8
7		191		13	3
69		127		4	1
101		123		7	8
109		137		2	4
69		81		6	8
69		61		6	5
66		70		1	5
159		163		15	17
191		159		13	4
139		170		18	6
28		140		1	3
69		191		11	16
182		47		7	13
81		159		11	3
163		81		8	10
139		54		3	7
9		109		8	13
140		147		6	9
174		25		9	11
54		146		13	10
140		51		7	5
170		174		0	4
4		110		14	17
47		53		10	6
137		151		2	5
147		163		3	0
7		99		18	12
139		110		10	8
123		182		19	16
9		151		1	5
151		149		16	20
151		47		3	6
154		28		2	5
149		9		5	3
172		67		15	14
69		174		10	16
140		28		15	9
101		176		5	4
159		67		5	12
92		114		10	9
123		146		3	9
4		170		2	5
54		9		17	4
185		51		17	9
176		163		17	16
54		9		16	4
110		139		13	20
149		170		6	14
172		149		8	18
51		9		3	0
38		19		4	1
185		46		8	6
47		61		16	14
7		140		5	2
182		175		15	18
9		92		11	9
38		101		8	11
174		182		4	11
137		191		10	7
25		61		10	6
51		25		4	5
81		109		10	5
139		81		16	11
175		69		1	4
61		66		6	3
154		25		5	11
137		139		9	14
25		174		17	7
159		46		17	15
114		25		15	17
51		182		3	9
78		47		9	16
4		172		11	7
38		25		15	11
185		146		4	0
101		172		9	6
51		54		4	12
123		174		12	17
182		53		12	16
149		139		7	10
139		114		5	2
182		149		6	15
9		66		4	18
191		81		20	15
137		101		5	11
101		38		18	11
123		170		7	6
47		127		5	2
110		191		0	4
51		46		9	19
127		69		7	10
99		78		12	18
182		109		6	5
9		170		8	18
127		53		12	16
81		109		5	3
159		53		12	20
163		159		2	3
159		139		5	13
185		147		2	8
140		174		20	8
25		149		2	7
175		4		3	4
92		127		17	18
81		159		4	6
7		140		7	10
78		163		17	11
191		67		3	0
182		139		2	8
182		47		5	7
175		38		14	12
170		110		10	5
61		47		9	3
61		78		4	1
176		81		2	3
101		147		14	12
139		109		5	2
170		4		20	17
170		191		6	5
139		70		3	2
78		28		6	8
47		51		13	4
78		172		8	3
38		114		19	16
51		38		4	13
146		92		7	3
172		185		8	12
81		163		18	12
66		109		4	7
25		92		20	6
163		69		4	5
146		25		1	5
191		109		4	1
4		78		4	12
114		151		16	9
114		154		14	15
101		147		4	3
147		69		7	4
149		110		2	5
140		114		15	9
123		38		14	8
101		19		19	17
154		139		7	15
146		51		15	10
176		191		15	19
38		147		15	17
19		47		10	15
81		176		11	6
78		19		10	16
191		147		9	13
159		46		5	20
154		9		7	2
99		185		11	20
51		81		3	12
147		174		12	6
110		175		19	13
99		51		15	10
47		123		18	19
46		151		14	5
9		47		4	9
139		191		20	15
146		176		2	6
46		191		16	9
151		25		2	6
172		137		6	13
19		47		11	8
101		9		6	3
38		123		8	4
140		176		2	5
25		19		15	13
172		176		11	9
67		61		10	16
154		151		0	3
78		38		5	3
70		51		3	2
139		4		6	1
4		176		13	5
19		47		8	14
92		38		15	20
176		101		7	9
81		151		8	6
19		7		5	9
191		70		5	12
139		159		4	3
67		163		8	10
172		19		6	8
154		185		10	18
147		182		4	2
147		46		16	18
191		46		6	13
174		61		2	3
151		146		14	8
137		174		2	6
182		154		13	19
176		101		9	11
174		149		5	16
127		38		11	14
137		47		1	11
149		66		8	2
66		7		7	3
47		170		9	15
147		159		11	6
46		78		2	5
70		127		17	16
69		151		8	11
78		38		3	5
101		101		7	8
163		109		7	14
139		137		2	5
149		174		4	9
69		127		16	19
54		109		12	13
154		175		2	3
54		140		11	13
99		174		5	12
92		172		15	18
61		67		17	11
154		92		14	9
70		149		8	2
114		69		17	11
140		170		13	12
67		28		17	5
7		151		14	12
69		140		13	12
114		109		3	0
53		47		13	6
123		151		18	7
78		69		20	14
114		109		4	5
25		46		4	11
110		149		1	4
4		114		12	20
38		61		3	9
4		172		18	9
163		92		3	2
140		19		15	19
53		81		5	19
114		92		6	3
28		185		4	16
53		172		7	4
172		66		8	18
70		110		3	9
78		110		18	13
101		99		11	2
54		123		10	2
25		19		4	5
4		114		15	17
110		99		9	14
182		19		17	16
4		99		15	14
47		7		11	12
191		19		14	7
38		51		11	3
81		28		2	4
137		176		11	16
191		146		10	4
81		38		13	11
4		123		16	20
28		176		13	11
149		61		3	9
28		137		8	17
67		99		20	16
81		146		18	10
174		172		2	5
149		154		1	6
149		174		3	8
149		151		6	11
163		146		6	5
109		159		19	18
47		147		2	10
191		139		3	4
137		146		5	7
101		139		0	3
154		163		11	14
53		146		6	1
28		123		6	5
151		9		20	8
127		61		14	19
53		182		18	12
19		154		3	0
137		114		3	0
61		172		7	4
147		114		12	9
110		151		6	7
25		146		18	15
51		172		12	15
51		175		9	19
176		38		10	17
140		101		5	7
38		61		3	1
170		172		8	9
163		101		19	15
170		176		11	9
127		92		10	7
149		38		8	9
66		147		1	4
170		69		11	2
70		78		4	3
140		47		16	14
70		51		20	10
139		25		12	7
38		123		17	16
172		38		15	20
66		47		13	19
4		123		12	7
140		191		9	5
67		81		17	19
109		175		1	4
170		25		6	12
163		109		8	4
92		101		3	4
69		185		4	8
182		151		13	10
67		127		13	7
25		61		6	11
51		99		20	19
176		53		17	20
176		78		8	13
70		163		9	8
25		25		4	5
123		78		8	13
7		159		12	8
147		66		6	3
78		54		16	19
176		4		3	13
137		54		3	11
159		53		19	18
78		28		20	14
176		175		6	9
159		172		5	7
53		139		6	10
147		163		5	14
174		109		3	5
159		151		8	11
123		28		7	6
170		4		5	4
175		67		12	10
185		7		12	14
51		172		6	9
182		182		3	7
191		78		11	4
175		53		6	11
53		99		2	3
149		46		6	13
25		4		5	2
101		191		16	9
99		78		4	15
110		54		6	3
70		70		8	7
146		66		9	14
70		149		8	5
174		9		17	8
81		25		2	5
123		47		13	16
109		147		5	3
81		176		15	9
61		9		16	2
38		51		3	1
25		151		12	14
182		51		19	14
159		51		2	3
159		46		5	9
7		47		14	13
19		172		16	14
175		46		5	6
78		47		8	13
81		81		2	3
81		4		6	3
140		7		14	15
47		4		14	6
163		175		2	7
182		114		7	3
61		69		8	5
127		78		2	6
54		28		18	9
19		25		2	5
123		9		4	1
92		70		0	3
170		127		6	1
70		69		20	12
172		70		4	18
69		99		1	3
46		163		10	8
182		47		5	15
174		25		3	10
61		109		6	5
154		146		6	9
163		28		3	2
146		47		7	10
101		92		3	7
61		172		17	11
139		7		11	9
114		19		4	6
149		47		12	11
70		176		15	10
114		182		13	6
92		4		7	19
99		139		9	15
151		163		1	3
170		170		11	15
46		114		7	8
176		149		2	4
67		151		10	12
123		139		5	12
191		110		8	4
70		69		12	5
53		139		15	18
54		151		5	3
114		191		19	16
146		149		3	4
127		47		5	8
176		191		6	9
114		151		4	1
182		78		9	11
172		127		10	2
127		28		15	12
127		154		18	13
53		182		20	13
176		66		8	11
51		137		4	6
191		182		1	3
51		147		1	5
146		7		14	17
19		139		4	8
137		25		3	0
159		154		16	14
101		163		10	7
147		99		7	4
28		172		9	19
101		175		11	19
137		61		1	4
170		110		11	13
70		127		15	9
54		170		19	12
175		170		17	11
185		66		4	6
78		7		7	5
81		151		17	6
182		174		9	11
140		139		4	11
147		182		18	12
70		114		9	7
54		182		14	7
159		54		13	6
176		110		4	7
163		163		20	15
38		81		5	9
147		61		3	4
53		149		10	11
46		101		11	15
123		149		8	16
176		123		3	8
139		137		4	7
78		78		6	2
81		92		9	2
163		38		2	10
176		127		6	1
174		149		15	10
81		38		8	7
185		38		16	8
38		92		7	8
9		51		10	17
123		127		18	13
149		92		5	3
78		176		17	10
159		123		6	5
78		92		10	4
51		182		6	4
69		147		6	7
159		9		15	11
123		127		14	15
92		170		8	12
9		46		8	14
154		172		5	10
81		101		14	8
78		47		20	18
159		170		7	18
66		28		14	11
149		151		9	7
53		172		15	9
61		172		12	3
123		4		7	9
147		109		10	13
19		151		13	19
176		46		9	17
53		114		15	16
172		67		7	13
81		19		19	20
154		78		13	20
78		4		14	10
99		61		3	5
149		46		13	15
92		185		1	5
185		66		11	1
69		154		4	5
170		127		4	2
127		9		15	12
109		53		1	3
147		175		18	19
146		146		7	10
191		54		13	20
38		66		10	8
67		61		3	10
114		9		8	4
123		66		4	2
159		61		9	20
51		154		11	9
54		7		9	1
146		127		18	11
25		81		17	14
47		46		10	15
78		182		7	4
99		127		17	19
154		9		9	4
191		69		19	14
140		66		1	3
149		70		18	12
140		47		1	5
174		140		7	3
99		172		5	2
7		25		7	4
101		139		3	7
174		92		3	5
182		110		6	4
7		19		6	4
99		114		16	17
54		140		19	20
139		127		3	0
53		54		19	12
69		51		15	13
25		140		17	10
78		123		18	9
92		159		9	5
4		163		5	19
137		69		6	1
154		175		11	12
109		4		15	3
53		19		15	10
99		110		6	11
147		61		7	5
19		51		17	11
146		81		1	6
110		7		3	4
139		182		15	7
159		191		2	9
127		69		4	8
51		110		3	2
7		53		12	8
53		9		14	4
163		92		11	5
163		28		15	18
19		81		5	14
174		159		12	20
154		114		5	8
81		19		11	8
61		151		18	19
99		172		8	10
154		67		4	2
114		101		3	11
66		67		10	11
92		139		11	14
159		139		2	7
137		25		9	19
70		149		12	16
154		163		10	12
19		92		7	0
53		147		15	16
69		69		4	2
109		176		12	15
78		92		12	6
61		175		16	13
147		191		17	6
114		123		9	2
51		19		4	8
54		70		13	17
182		149		4	6
151		78		3	2
61		139		6	13
139		53		17	8
47		174		10	16
154		51		20	16
78		47		1	3
185		61		17	11
51		61		1	7
19		9		0	3
149		170		12	16
191		172		11	8
19		147		9	15
172		38		8	11
163		19		10	14
9		67		7	5
53		4		2	5
66		61		15	11
92		114		6	10
7		46		5	8
54		175		1	4
61		109		16	9
9		9		19	10
25		149		8	13
47		9		10	4
110		28		14	12
51		54		8	15
9		67		1	6
163		99		18	5
69		154		11	13
19		159		19	20
28		154		5	4
172		109		12	14
66		127		14	5
110		182		13	12
54		127		19	13
151		172		3	4
67		139		6	18
182		174		10	15
163		123		3	7
185		69		5	4
4		159		4	5
182		185		11	14
123		146		16	13
154		127		4	0
182		69		2	5
81		54		3	0
7		139		13	14
110		69		14	16
67		19		9	13
25		51		7	15
174		70		7	12
191		25		19	12
175		92		6	2
123		109		5	1
67		61		16	15
147		47		10	9
101		99		8	5
149		110		1	5
46		149		5	6
170		170		5	4
19		53		5	19
54		127		9	4
114		99		9	3
69		172		14	11
185		53		11	13
110		19		2	6
9		137		3	2
170		78		8	6
78		67		2	3
147		147		20	17
139		67		19	10
147		53		13	14
175		67		13	3
174		66		6	12
66		151		3	4
114		127		8	5
114		146		7	10
149		146		10	17
70		69		5	3
149		172		2	6
92		154		10	19
101		53		2	7
170		149		10	1
146		28		10	8
176		185		4	12
146		109		20	18
172		7		1	3
147		67		5	7
61		109		11	9
25		7		10	12
38		69		18	12
175		61		8	5
174		109		10	5
176		28		8	7
99		66		5	9
182		25		14	16
69		139		6	20
66		170		6	9
69		172		10	11
109		174		14	11
163		140		7	19
61		109		7	1
154		175		13	14
46		147		13	10
159		175		3	8
159		78		5	14
175		70		10	14
191		81		5	7
70		4		10	5
19		54		3	8
110		66		11	13
170		38		7	4
69		38		12	15
151		53		15	18
28		151		13	19
7		67		7	2
109		139		11	18
67		172		14	10
140		69		4	1
81		47		9	1
159		154		6	16
154		28		5	4
19		191		11	6
182		4		16	10
99		109		4	11
114		149		8	12
51		147		8	17
154		139		0	5
174		114		17	16
170		47		10	16
123		7		4	11
78		9		7	8
81		163		20	8
139		61		9	11
137		61		6	13
140		163		2	6
25		81		4	5
51		19		4	11
176		182		8	5
7		182		12	4
19		70		11	19
174		69		20	16
67		69		2	6
185		66		20	17
101		140		13	12
172		149		2	10
101		127		14	18
175		67		17	8
185		127		10	3
69		61		3	7
51		163		13	14
51		92		18	14
70		127		6	1
54		114		6	9
67		175		14	19
28		47		6	7
69		185		15	19
172		137		7	9
69		53		7	11
25		51		12	6
151		19		4	3
51		174		2	11
61		182		6	3
182		139		4	13
25		163		14	13
140		110		4	7
54		61		18	14
47		146		15	9
81		140		15	8
123		4		15	18
69		92		8	10
154		109		11	12
123		185		7	8
99		174		14	16
110		47		5	12
170		51		16	11
110		69		11	6
185		66		16	19
19		70		3	1
67		146		10	8
151		154		3	4
81		185		14	16
127		185		0	4
19		154		7	17
25		140		9	7
25		78		10	5
81		127		15	10
47		70		3	6
154		154		13	10
146		46		6	15
110		69		9	7
19		38		4	9
67		127		15	11
92		53		8	20
38		92		11	3
38		7		12	15
99		99		4	2
54		4		4	9
9		147		6	8
38		47		3	4
38		191		16	20
4		159		10	4
51		140		9	18
182		78		7	12
81		66		6	11
61		137		1	3
174		114		13	12
110		69		7	11
159		127		10	12
127		149		10	6
38		175		1	6
51		154		19	11
110		28		4	5
159		66		11	10
81		53		11	13
140		159		2	4
137		191		15	16
38		182		5	4
176		147		8	16
92		38		2	5
4		191		19	14
25		163		0	4
99		92		20	17
92		69		14	19
140		99		4	3
127		154		18	17
149		146		3	2
47		53		14	20
69		101		10	5
127		127		6	7
114		151		13	12
154		172		17	19
38		67		17	9
170		67		11	7
101		7		9	7
175		172		2	4
101		78		7	11
81		170		9	8
137		176		9	19
163		146		5	4
47		175		8	10
174		78		7	6
101		54		1	3
123		147		5	12
67		61		11	16
185		123		8	13
109		66		10	17
154		101		0	3
175		172		9	7
78		140		4	6
61		51		11	6
123		101		16	12
81		19		18	8
99		137		7	4
67		146		3	6
7		4		13	4
4		127		10	7
25		47		6	4
92		139		1	5
109		7		2	3
159		7		2	3
70		19		16	11
69		139		4	19
151		81		7	12
114		54		14	11
25		9		11	4
151		101		1	3
46		159		3	1
151		185		5	8
140		154		3	1
38		69		2	5
139		110		11	10
109		9		13	8
110		114		7	2
114		47		7	4
137		69		9	5
159		185		9	19
146		182		14	9
99		172		14	12
154		81		6	14
114		110		7	11
174		4		15	10
81		137		9	7
38		54		3	1
101		140		3	5
54		4		4	3
51		78		4	13
7		38		13	17
7		159		3	1
47		127		12	10
163		110		18	8
146		38		0	4
172		99		13	10
147		99		6	4
140		70		5	3
151		53		11	9
175		172		7	1
110		172		11	10
123		146		10	8
7		66		13	10
78		175		9	5
9		154		15	19
38		78		16	18
182		147		8	11
163		46		13	18
9		191		6	17
9		7		3	5
174		66		11	12
54		53		2	3
61		140		18	13
101		101		3	7
137		78		7	15
147		19		13	6
149		38		12	20
172		159		2	3
163		123		13	15
47		46		6	9
78		175		9	4
191		109		5	3
191		54		8	13
78		51		16	10
127		159		10	7
70		191		9	6
163		149		3	8
19		53		2	7
70		114		3	2
191		9		7	2
9		172		7	8
191		101		10	6
66		163		15	17
163		147		10	14
163		7		13	16
191		139		12	18
70		78		17	16
110		51		19	14
101		51		7	1
172		7		2	12
70		101		19	13
61		53		12	6
92		182		11	18
185		101		4	5
81		185		10	7
172		109		6	10
78		137		19	16
149		47		19	17
99		170		4	10
147		66		10	2
28		99		9	7
114		154		19	16
38		109		8	3
51		38		14	18
172		46		6	11
9		54		3	9
38		127		4	0
25		123		12	9
101		174		6	10
109		53		2	13
176		92		9	10
19		54		1	3
175		154		16	7
69		61		9	14
92		4		17	19
110		123		3	4
4		99		18	12
151		176		4	2
99		69		18	16
170		4		11	8
67		151		8	19
127		151		10	9
28		127		11	12
69		149		14	16
51		66		9	20
38		47		6	5
54		47		2	7
176		172		1	4
47		109		11	8
151		176		3	6
151		172		5	11
70		47		19	12
38		92		18	5
28		19		16	12
146		9		14	6
66		19		5	1
9		53		3	11
147		70		12	10
114		46		4	13
69		123		8	7
159		185		14	8
123		61		6	11
19		172		18	17
114		123		4	8
46		25		8	6
78		170		13	14
159		4		9	17
4		109		4	14
154		4		0	3
137		38		12	18
109		54		13	16
149		61		8	9
175		123		20	16
174		70		6	17
25		51		14	16
123		140		13	17
175		101		4	7
7		170		16	11
127		175		8	10
101		47		14	9
67		175		0	3
139		92		15	5
182		174		2	3
7		66		17	12
174		176		7	10
46		140		15	6
69		38		7	4
182		147		2	6
163		151		9	8
19		81		1	7
174		175		3	10
172		139		3	7
175		78		9	16
123		19		5	8
114		66		16	19
110		101		8	17
99		146		4	8
110		67		16	12
191		92		13	3
185		51		3	1
47		4		1	4
53		46		2	4
154		51		11	12
146		127		16	3
191		163		11	17
172		78		6	20
61		25		9	10
38		137		9	5
38		53		2	3
9		182		10	12
176		19		20	16
25		66		7	16
38		140		7	9
69		170		8	18
140		46		16	15
139		78		10	17
92		25		10	19
101		159		9	7
154		137		3	6
67		182		6	4
25		28		4	0
147		81		3	7
127		81		4	5
53		191		20	13
140		92		19	3
163		51		5	3
163		154		13	10
78		174		6	4
54		109		18	15
38		78		11	13
61		66		5	7
51		4		0	3
191		66		7	2
185		54		11	10
7		101		0	3
175		66		11	9
7		28		3	0
66		176		18	14
127		46		2	17
146		25		4	1
46		185		10	8
109		110		12	8
70		109		18	20
176		176		5	11
140		28		16	14
9		53		6	14
54		54		11	10
99		174		8	4
61		147		14	11
92		175		2	7
159		176		4	7
54		174		19	16
147		69		20	10
147		146		16	5
66		53		12	14
182		7		0	4
172		170		9	10
7		54		13	11
176		154		11	14
9		19		6	12
61		109		6	11
78		9		15	5
139		101		18	15
175		172		20	8
53		81		15	16
9		170		3	6
9		61		4	19
28		54		2	9
151		109		9	7
66		67		4	6
81		146		9	15
114		140		17	15
182		53		10	8
78		110		15	13
137		127		5	6
137		163		11	9
4		154		3	1
51		110		8	12
170		47		13	9
67		4		9	15
78		69		16	5
46		185		16	20
175		28		8	9
66		154		9	14
185		172		10	9
78		176		6	2
172		146		13	19
9		172		3	7
78		175		12	18
176		140		8	11
146		154		11	15
185		28		19	8
176		99		9	4
147		176		5	3
25		61		16	11
123		92		3	0
54		182		12	6
101		191		16	12
66		147		10	8
172		163		15	16
9		182		8	19
51		159		16	18
114		146		10	12
70		69		11	8
67		175		8	19
110		54		9	12
46		7		13	3
146		146		8	11
123		81		6	9
114		67		1	8
170		139		3	9
46		51		20	5
92		127		2	3
51		170		7	8
92		114		12	10
25		7		9	14
191		70		17	20
176		70		11	14
70		99		13	8
154		123		3	5
47		81		0	7
139		9		11	2
99		101		7	11
69		38		5	4
4		51		5	7
25		61		9	12
163		99		20	17
175		9		6	4
149		146		11	10
159		69		2	3
110		70		3	5
9		78		6	15
172		123		3	6
101		147		11	14
70		51		5	2
61		191		20	10
66		51		11	4
151		191		15	17
114		101		4	0
174		174		15	13
127		7		7	14
185		137		12	18
140		99		15	7
140		182		9	6
175		174		17	18
101		70		1	8
51		175		3	10
147		137		17	9
51		172		8	11
185		61		8	5
170		46		6	5
46		109		7	3
163		69		11	7
149		151		18	15
139		185		4	1
123		61		1	4
38		28		11	9
127		159		17	13
46		99		11	9
176		109		2	5
9		101		5	4
110		109		6	11
176		53		2	6
163		123		10	12
140		174		3	6
114		61		1	3
38		137		12	11
163		146		17	20
69		25		13	7
110		159		6	0
47		174		9	8
4		146		6	1
176		172		11	15
66		172		13	7
66		67		19	20
147		99		15	12
176		123		14	12
4		137		19	20
92		172		17	18
172		61		5	3
109		109		12	10
99		123		7	15
139		174		13	10
114		159		17	8
46		69		19	11
123		170		4	9
149		139		2	8
151		25		7	17
81		47		7	10
174		163		11	5
172		114		11	18
110		191		12	15
101		61		9	8
70		140		8	4
110		54		10	8
67		137		6	4
61		159		14	5
137		114		7	14
67		92		10	5
110		110		14	13
53		176		9	5
66		170		18	7
137		81		4	6
151		53		8	12
47		9		11	9
46		127		12	9
28		25		2	7
174		174		10	9
101		123		7	6
51		140		11	10
101		61		3	4
28		19		15	19
182		28		8	9
147		163		8	7
154		149		11	5
19		137		12	10
109		38		20	18
7		174		7	5
51		172		4	6
127		137		1	3
7		191		9	11
51		140		5	9
176		147		18	20
7		46		9	13
54		70		10	7
109		109		10	11
28		69		5	9
69		38		15	20
182		182		18	7
51		191		8	12
175		163		5	2
69		176		0	6
146		92		14	4
147		53		11	16
101		170		17	12
191		174		7	5
109		114		13	12
78		99		15	8
101		101		10	9
28		172		5	7
66		69		8	13
182		140		17	19
185		66		7	3
19		54		18	19
9		70		6	20
176		175		6	13
25		99		3	0
110		28		3	1
191		81		9	13
61		175		16	12
92		38		0	4
147		174		12	7
172		139		0	3
147		159		20	12
7		170		9	10
127		99		20	11
146		4		16	9
61		146		9	10
70		101		16	18
109		19		14	17
149		163		2	5
54		114		18	17
66		78		6	10
81		140		14	9
7		149		15	6
110		70		11	18
110		53		2	3
139		154		14	18
174		101		14	13
66		78		8	16
154		7		5	10
46		139		19	11
54		174		17	14
38		127		12	14
174		70		2	5
172		99		2	8
175		54		6	4
9		139		1	7
146		92		13	7
92		67		20	16
146		81		20	19
163		163		4	1
127		172		12	13
146		109		15	12
66		53		2	6
163		7		5	6
78		4		4	2
28		182		4	8
70		99		6	8
140		61		11	12
163		174		13	17
139		78		16	10
139		101		17	18
46		109		12	3
159		127		3	8
101		110		6	4
69		170		6	10
110		61		16	13
123		99		16	11
69		147		6	2
70		172		9	2
67		176		4	10
99		109		6	4
127		159		11	8
47		139		5	11
174		46		20	16
54		149		4	1
54		147		4	7
174		110		3	14
67		146		4	14
174		146		9	11
67		19		18	16
25		182		12	6
174		38		17	19
123		70		4	1
149		66		8	13
66		19		3	1
19		185		17	20
67		47		0	4
7		51		6	2
101		154		14	3
127		28		10	13
67		139		7	12
163		154		2	5
149		92		14	13
127		185		5	8
174		99		7	2
46		70		15	18
123		154		2	5
99		176		0	5
81		114		15	6
159		123		8	17
163		51		13	6
140		114		16	15
127		149		4	3
174		149		4	3
147		67		15	9
53		4		12	9
78		123		7	10
170		53		10	11
110		159		13	8
19		70		11	18
149		46		11	9
61		101		3	6
170		127		3	0
81		137		4	1
28		146		6	8
99		38		3	1
92		114		7	16
185		78		19	10
175		191		8	12
78		9		3	1
137		7		6	9
185		7		3	1
174		28		19	10
182		69		5	3
109		174		8	7
7		191		7	5
92		182		12	18
92		172		9	6
67		151		10	13
163		7		7	9
70		151		11	6
139		110		1	3
81		172		20	7
46		38		8	1
174		127		10	7
92		159		8	15
170		51		8	5
114		176		11	13
109		7		6	7
140		7		15	11
170		174		8	16
163		175		5	9
154		176		3	6
101		123		11	20
4		51		14	11
4		19		19	17
175		38		11	6
46		53		2	5
139		46		16	20
163		53		10	13
163		149		11	9
174		127		6	8
51		151		6	8
7		139		16	19
151		38		13	14
151		146		9	2
70		174		9	5
67		78		10	18
101		54		6	10
51		154		4	9
140		149		17	18
151		149		3	2
147		137		20	11
154		51		11	2
53		51		10	5
170		176		2	3
53		182		20	6
109		139		11	12
191		127		10	8
146		47		1	3
70		140		20	13
176		9		9	5
9		92		14	20
81		182		9	5
151		47		9	7
51		66		6	4
159		174		10	14
170		66		9	14
149		25		9	8
127		110		10	18
139		147		4	7
101		176		6	4
4		81		1	7
182		61		3	4
146		114		2	8
38		191		4	1
182		9		10	12
149		191		12	17
66		172		18	14
185		151		12	14
19		191		3	6
78		46		6	9
25		67		8	7
176		99		11	13
140		185		3	7
9		172		8	9
170		92		1	5
92		170		16	17
147		127		6	7
28		146		3	9
137		47		16	19
149		51		8	9
99		25		10	14
101		53		11	14
146		81		2	5
154		176		4	1
172		61		10	18
127		191		6	14
28		182		10	16
78		151		17	15
146		149		15	18
109		137		16	18
137		185		3	6
110		81		0	6
114		28		13	10
182		7		6	17
110		67		8	0
127		159		9	19
7		92		13	4
4		46		5	14
61		66		12	4
140		149		17	14
28		78		7	19
114		182		18	15
51		127		5	6
51		170		9	20
174		70		1	6
159		109		19	18
174		154		11	3
127		151		12	6
137		185		10	18
149		7		6	15
163		146		7	6
176		61		10	20
47		109		19	11
67		46		12	14
146		159		14	8
99		176		15	19
127		25		7	13
110		114		10	7
114		51		14	12
175		70		11	8
67		146		15	12
154		54		4	7
137		9		10	6
46		182		12	1
176		154		9	5
67		70		7	5
175		109		5	7
151		9		3	2
170		172		16	8
137		99		10	13
146		7		15	14
67		28		19	15
127		154		9	4
140		172		2	3
101		78		7	20
170		69		9	4
53		92		6	4
66		46		15	16
46		137		12	7
163		101		9	14
170		4		14	8
127		38		5	12
25		38		8	3
81		70		10	3
101		61		7	10
9		146		5	6
28		191		2	3
140		174		1	3
137		66		15	20
25		38		19	20
47		147		13	8
127		99		6	12
159		182		15	17
151		61		8	7
51		70		0	3
174		28		15	5
51		191		5	8
175		163		14	6
47		92		5	2
147		66		2	3
109		67		5	3
114		61		3	2
109		172		19	14
81		151		11	3
81		182		5	3
47		9		3	0
127		140		12	17
7		146		13	17
78		154		19	10
174		163		15	11
154		109		0	5
25		123		19	16
127		182		14	19
149		123		1	3
81		19		14	10
47		110		19	14
137		19		14	13
110		110		15	6
70		67		1	8
67		92		12	7
159		67		11	13
149		182		8	13
47		9		15	6
101		19		16	11
54		147		7	10
172		147		13	20
191		38		10	8
146		46		8	6
191		176		14	12
172		176		3	0
99		109		7	4
61		146		3	0
182		175		5	12
185		25		13	6
81		54		9	6
92		46		1	5
99		175		7	6
174		66		17	19
46		127		13	6
139		69		14	8
151		137		3	13
81		146		20	13
147		175		5	10
47		101		5	10
172		170		7	11
28		191		14	10
191		123		10	13
4		19		7	12
151		101		12	1
185		154		5	7
137		175		2	4
109		101		10	8
47		176		17	18
53		109		6	2
46		51		8	4
9		99		4	9
54		4		16	12
147		19		14	5
70		191		19	20
163		110		2	9
61		46		4	1
114		109		16	19
7		28		3	1
19		9		4	0
70		123		2	4
170		140		16	15
175		7		6	4
9		123		1	3
51		51		12	11
101		70		20	18
51		67		2	6
7		78		3	5
140		114		7	15
51		46		2	6
182		127		3	6
66		140		15	16
25		38		3	7
127		47		17	18
137		99		14	6
67		47		8	9
110		147		15	18
185		123		13	20
51		139		6	17
159		38		2	3
139		19		4	5
9		25		2	14
170		123		9	14
182		78		1	6
114		137		11	15
54		9		9	5
114		139		5	2
19		123		10	16
